,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8,9.0,Spencer Jones,24.0,DEN,SF,64,37,22.1,2.1,4.1,0.504,0.9,2.3,0.396,1.2,1.8,0.636,0.613,0.5,0.8,0.608,1.2,2.1,3.3,0.8,0.8,0.5,0.5,2.7,5.5
9,10.0,Jalen Pickett,26.0,DEN,SG,50,18,16.1,2.0,4.6,0.422,1.0,2.5,0.386,1.0,2.1,0.467,0.528,0.3,0.4,0.789,0.4,1.9,2.3,2.3,0.3,0.1,0.7,0.8,5.2
10,11.0,Julian Strawther,23.0,DEN,SG,57,14,15.1,2.6,5.6,0.467,1.0,2.6,0.387,1.6,3.0,0.538,0.558,1.0,1.2,0.814,0.2,1.8,2.0,1.1,0.4,0.1,0.6,1.3,7.2
11,12.0,David Roddy,24.0,DEN,PF,5,0,14.6,3.0,6.0,0.5,0.6,2.2,0.273,2.4,3.8,0.632,0.55,1.4,1.4,1.0,1.6,2.4,4.0,0.8,0.8,0.2,0.4,1.4,8.0
12,13.0,Jonas ValanÄiÅ«nas,33.0,DEN,C,65,6,13.4,3.5,6.0,0.582,0.1,0.4,0.308,3.4,5.6,0.602,0.592,1.6,2.1,0.772,1.6,3.4,5.1,1.2,0.2,0.6,1.1,2.0,8.7
13,14.0,Zeke Nnaji,25.0,DEN,PF,52,4,12.0,1.4,2.9,0.47,0.3,1.0,0.259,1.1,1.9,0.588,0.517,0.7,0.8,0.773,0.6,2.0,2.6,0.6,0.3,0.5,0.5,1.4,3.7
14,15.0,Curtis Jones,24.0,DEN,SG,10,0,8.8,1.1,2.7,0.407,0.6,1.8,0.333,0.5,0.9,0.556,0.519,0.1,0.2,0.5,0.2,0.9,1.1,1.0,0.4,0.0,0.2,0.6,2.9
15,16.0,Tyus Jones,29.0,DEN,PG,11,2,8.4,0.8,2.4,0.346,0.5,1.5,0.375,0.3,0.9,0.3,0.462,0.0,0.1,0.0,0.2,1.1,1.3,1.2,0.1,0.0,0.5,0.1,2.2
16,17.0,DaRon Holmes,23.0,DEN,PF,25,6,8.4,1.2,2.4,0.508,0.8,1.8,0.444,0.4,0.6,0.688,0.672,0.4,0.6,0.786,0.3,1.1,1.4,0.6,0.0,0.2,0.5,0.8,3.7
17,18.0,Hunter Tyson,25.0,DEN,PF,21,2,7.7,0.7,2.5,0.269,0.3,1.6,0.212,0.3,0.9,0.368,0.337,0.5,0.6,0.846,0.2,1.5,1.7,0.8,0.1,0.0,0.2,0.6,2.2
18,19.0,KJ Simpson,23.0,DEN,PG,6,0,5.7,0.5,1.7,0.3,0.0,0.2,0.0,0.5,1.5,0.333,0.3,0.2,0.3,0.5,0.7,0.7,1.3,1.3,0.2,0.0,0.2,0.7,1.2
19,,Team Totals,,DEN,,82,82,243.0,43.5,87.8,0.496,14.2,35.8,0.396,29.4,52.0,0.565,0.577,20.8,25.8,0.808,9.8,34.2,44.0,29.0,6.8,4.0,12.9,19.1,122.1
0,1.0,Kon Knueppel,20.0,CHO,SF,81,80,31.5,6.4,13.4,0.475,3.4,7.9,0.425,3.0,5.5,0.548,0.601,2.4,2.8,0.863,1.2,4.1,5.3,3.4,0.7,0.2,2.0,2.1,18.5
1,2.0,Miles Bridges,27.0,CHO,PF,77,77,31.0,6.2,13.5,0.46,1.9,5.8,0.333,4.3,7.8,0.554,0.531,2.7,3.3,0.822,1.0,4.9,5.8,3.2,0.6,0.4,1.4,1.7,17.1
2,3.0,Brandon Miller,23.0,CHO,SF,65,65,30.3,7.0,16.1,0.435,3.1,8.2,0.383,3.8,7.9,0.489,0.533,3.1,3.4,0.892,1.1,3.8,4.9,3.3,1.0,0.7,2.5,2.8,20.2
3,4.0,LaMelo Ball,24.0,CHO,PG,72,69,28.0,7.0,17.3,0.407,3.8,10.3,0.368,3.3,7.0,0.464,0.516,2.2,2.5,0.899,0.9,3.9,4.8,7.1,1.2,0.2,2.8,2.7,20.1
4,5.0,Moussa DiabatÃ©,24.0,CHO,C,73,47,26.0,3.1,5.0,0.631,0.0,0.0,0.5,3.1,4.9,0.632,0.632,1.6,2.4,0.659,3.7,5.0,8.7,1.9,0.8,1.0,1.0,2.4,7.9
5,6.0,Sion James,23.0,CHO,SG,82,19,22.5,1.7,4.5,0.371,1.0,2.9,0.352,0.7,1.7,0.404,0.483,1.0,1.2,0.837,0.6,2.9,3.5,2.0,0.6,0.2,0.8,1.8,5.4
6,7.0,Collin Sexton,27.0,CHO,SG,42,12,22.3,4.8,9.9,0.488,1.4,3.5,0.393,3.5,6.4,0.539,0.557,3.2,3.7,0.877,0.4,1.5,1.9,3.7,0.9,0.2,2.1,1.8,14.2
7,8.0,Ryan Kalkbrenner,24.0,CHO,C,69,31,21.4,3.2,4.2,0.753,0.0,0.1,0.0,3.2,4.1,0.766,0.753,1.2,1.7,0.716,2.4,3.0,5.5,0.8,0.5,1.5,0.9,1.6,7.6
8,9.0,Grant Williams,27.0,CHO,PF,36,3,19.8,2.2,5.1,0.426,1.4,3.7,0.388,0.7,1.4,0.531,0.568,1.2,1.5,0.815,1.3,2.7,3.9,1.6,0.5,0.5,0.9,1.6,7.0
9,10.0,Coby White,25.0,CHO,SG,21,0,19.3,5.0,11.0,0.461,2.0,5.2,0.391,3.0,5.7,0.525,0.554,3.5,4.1,0.839,0.5,2.5,3.0,3.0,0.2,0.1,1.9,1.9,15.6
10,11.0,KJ Simpson,23.0,CHO,PG,14,2,15.9,2.2,6.4,0.348,0.9,2.8,0.308,1.4,3.6,0.38,0.416,0.7,1.1,0.625,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,6.0
